"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 02 14:21:37 GMT 2025","Sun Nov 02 14:21:40 GMT 2025","3200","","api.AdminCreateUserTest","","api.AdminCreateUserTest","adminCreatesNewUser","adminCreatesNewUser()",""
"passed","Sun Nov 02 14:21:37 GMT 2025","Sun Nov 02 14:21:39 GMT 2025","2481","","api.UserAccountTest","","api.UserAccountTest","userCanCreateAccount","userCanCreateAccount()",""
"failed","Sun Nov 02 14:21:37 GMT 2025","Sun Nov 02 14:21:39 GMT 2025","2883","","api.CreateAccountTest","","api.CreateAccountTest","userCanCreateAccount","userCanCreateAccount()",""
"passed","Sun Nov 02 14:21:37 GMT 2025","Sun Nov 02 14:21:39 GMT 2025","1996","","api.UserLoginTest","","api.UserLoginTest","userAbleToLogin","userAbleToLogin()",""
