"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 02 14:32:58 GMT 2025","Sun Nov 02 14:33:00 GMT 2025","2384","","api.UserAccountTest","","api.UserAccountTest","userCanCreateAccount","userCanCreateAccount()",""
"passed","Sun Nov 02 14:32:58 GMT 2025","Sun Nov 02 14:33:00 GMT 2025","2007","","api.UserLoginTest","","api.UserLoginTest","userAbleToLogin","userAbleToLogin()",""
"passed","Sun Nov 02 14:32:58 GMT 2025","Sun Nov 02 14:33:01 GMT 2025","3153","","api.CreateAccountTest","","api.CreateAccountTest","userCanCreateAccount","userCanCreateAccount()",""
"passed","Sun Nov 02 14:32:58 GMT 2025","Sun Nov 02 14:33:01 GMT 2025","2973","","api.AdminCreateUserTest","","api.AdminCreateUserTest","adminCreatesNewUser","adminCreatesNewUser()",""
