"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Nov 02 14:25:58 GMT 2025","Sun Nov 02 14:26:01 GMT 2025","2799","","api.CreateAccountTest","","api.CreateAccountTest","userCanCreateAccount","userCanCreateAccount()",""
"passed","Sun Nov 02 14:25:58 GMT 2025","Sun Nov 02 14:26:01 GMT 2025","3161","","api.AdminCreateUserTest","","api.AdminCreateUserTest","adminCreatesNewUser","adminCreatesNewUser()",""
"passed","Sun Nov 02 14:25:58 GMT 2025","Sun Nov 02 14:26:00 GMT 2025","2005","","api.UserLoginTest","","api.UserLoginTest","userAbleToLogin","userAbleToLogin()",""
"passed","Sun Nov 02 14:25:58 GMT 2025","Sun Nov 02 14:26:00 GMT 2025","2366","","api.UserAccountTest","","api.UserAccountTest","userCanCreateAccount","userCanCreateAccount()",""
