"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 02 13:23:43 GMT 2025","Sun Nov 02 13:23:46 GMT 2025","3473","","api.AdminCreateUserTest","","api.AdminCreateUserTest","adminCreatesNewUser","adminCreatesNewUser()",""
"passed","Sun Nov 02 13:23:43 GMT 2025","Sun Nov 02 13:23:45 GMT 2025","2507","","api.UserAccountTest","","api.UserAccountTest","userCanCreateAccount","userCanCreateAccount()",""
"passed","Sun Nov 02 13:23:43 GMT 2025","Sun Nov 02 13:23:45 GMT 2025","2142","","api.UserLoginTest","","api.UserLoginTest","userAbleToLogin","userAbleToLogin()",""
"passed","Sun Nov 02 13:23:43 GMT 2025","Sun Nov 02 13:23:46 GMT 2025","3599","","api.CreateAccountTest","","api.CreateAccountTest","userCanCreateAccount","userCanCreateAccount()",""
