"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 02 13:26:32 GMT 2025","Sun Nov 02 13:26:34 GMT 2025","2076","","api.UserLoginTest","","api.UserLoginTest","userAbleToLogin","userAbleToLogin()",""
"passed","Sun Nov 02 13:26:32 GMT 2025","Sun Nov 02 13:26:35 GMT 2025","3336","","api.AdminCreateUserTest","","api.AdminCreateUserTest","adminCreatesNewUser","adminCreatesNewUser()",""
"failed","Sun Nov 02 13:26:32 GMT 2025","Sun Nov 02 13:26:35 GMT 2025","2899","","api.CreateAccountTest","","api.CreateAccountTest","userCanCreateAccount","userCanCreateAccount()",""
"passed","Sun Nov 02 13:26:32 GMT 2025","Sun Nov 02 13:26:34 GMT 2025","2510","","api.UserAccountTest","","api.UserAccountTest","userCanCreateAccount","userCanCreateAccount()",""
