"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2168","userAbleToLogin()","","Sun Nov 09 09:50:03 UTC 2025","passed","Sun Nov 09 09:50:05 UTC 2025","","api.UserLoginTest","api.UserLoginTest","userAbleToLogin"
"","3512","userCanCreateAccount()","","Sun Nov 09 09:50:03 UTC 2025","passed","Sun Nov 09 09:50:06 UTC 2025","","api.CreateAccountTest","api.CreateAccountTest","userCanCreateAccount"
"","2697","userCanCreateAccount()","","Sun Nov 09 09:50:03 UTC 2025","passed","Sun Nov 09 09:50:06 UTC 2025","","api.UserAccountTest","api.UserAccountTest","userCanCreateAccount"
"","3404","adminCreatesNewUser()","","Sun Nov 09 09:50:03 UTC 2025","passed","Sun Nov 09 09:50:06 UTC 2025","","api.AdminCreateUserTest","api.AdminCreateUserTest","adminCreatesNewUser"
